category,subcategory,score,effect,ransomware_note,grid_x,grid_y
Detect,DE.AE-4: Impact of events is determined,4,Impact,Determining the impact of events can inform response and recovery priorities for a ransomware attack,2.5,3
Detect,DE.CM-1: The network is monitored to detect potential cybersecurity events,2,Likelihood,Network monitoring might detect intrusions before malicious code can be inserted or large volumes of information are encrypted and exfiltrated.,2.5,3
Detect,DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,2,Likelihood,Monitoring personnel activity might detect insider threats or insecure staff practices or compromised credentials and thwart potential ransomware events.,2.5,3
Detect,DE.CM-4: Malicious code is detected,2,Likelihood,"Detection may indicate that a ransomware event is occurring. Also, malicious code is often not immediately executed, so there may be time between insertion of malicious code and its activation to detect it before the ransomware attack is executed.",2.5,3
Detect,DE.CM-5: Unauthorized mobile code is detected,2,Likelihood,Detection may indicate that a ransomware event is occurring. Often malicious mobile code is not immediately executed. There may be time between insertion of malicious mobile code and its activation to detect it before the ransomware attack is executed.,2.5,3
Detect,DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events,2,Likelihood,Monitoring external service provider activity might detect ransomware events and other cybersecurity events before they have a chance to spread within the organization.,2.5,3
Detect,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed",2,Likelihood,Monitoring can detect many ransomware attacks before they are executed,2.5,3
Detect,DE.CM-8: Vulnerability scans are performed,2,Likelihood,Regular scans can detect most vulnerabilities before they are used to execute ransomware attacks.,2.5,3
Detect,DE.DP-1: Roles and responsibilities for detection are well defined to ensure accountability,3,Likelihood,Accountability encourages adherence to organizational policies and procedures to help detect ransomware attacks. ,2.5,3
Detect,DE.DP-2: Detection activities comply with all applicable requirements,3,Likelihood,Consistent adherence to organizational policies and procedures is necessary for detection activities to be effective against ransomware attacks.,2.5,3
Detect,DE.DP-3: Detection processes are tested,3,Likelihood,"Testing provides assurance of correct detection processes for ransomwarebased attacks, but not that all intrusion attempts will be detected.",2.5,3
Detect,DE.DP-4: Event detection information is communicated,3,Likelihood,Timely communication of anomalies is necessary to remediation before a ransomware attack can be launched.,2.5,3
Detect,DE.DP-5: Detection processes are continuously improved,3,Likelihood,"Ransomware attacks are continuously being refined, so detection processes must continuously evolve to keep up with new threats.",2.5,3
Identify,ID.AM-3: Organizational communication and data flows are mapped,2,Impact,"This helps to enumerate what information or processes are at risk, should the attackers move laterally within an environment.",1,3
Identify,ID.AM-4: External information systems are catalogued,2,Impact,This is important for planning communications to partners and possible actions to temporarily disconnect from external systems in response to ransomware events. Identifying these connections will also help organizations plan security control implementation and identify areas where controls may be shared with third parties.,1,3
Identify,"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ",2,Impact,"This is essential to understanding the true scope and impact of ransomware events, and is an important factor in contingency planning for future ransomware events, emergency responses, and recovery actions. This will help prioritize the response and recovery activities.",1,3
Identify,"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",2,Impact,"It’s important that everyone in the organization understand their roles and responsibilities for preventing ransomware events and, if applicable, also for responding to and recovering from ransomware events.",1,3
Identify,"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",1,Impact,"This helps operations and incident responders with prioritizing resources. This supports contingency planning for future ransomware events, emergency responses, and recovery actions.",1,3
Identify,"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",3,Impact,This is necessary for cybersecurity policy development and for establishing priorities in contingency planning for responses to future ransomware events.,1,3
Identify,ID.RA-4: Potential business impacts and likelihoods are identified,4,Impact,Understanding the business impacts of potential ransomware events is needed to support cybersecurity cost-benefit analyses as well to establish priorities for activities included in ransomware contingency plans for response and recovery. Understanding the potential business impacts also supports emergency response decisions in the event of a ransomware attack.,1,3
Identify,ID.RA-6: Risk responses are identified and prioritized,4,Impact,The expense associated with response to and recovery from ransomware events is materially affected by the effectiveness of contingency planning of responses to projected risks.,1,3
Identify,"ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders",2,Impact,"Establishing and enforcing organizational policies, roles, and responsibilities is dependent on stakeholders agreeing to and managing effective risk management processes. The processes should take into consideration the risk of a ransomware event.",1,3
Identify,ID.SC-5: Response and recovery planning and testing are conducted with suppliers and third-party providers,3,Impact,"Ransomware contingency planning should be coordinated with suppliers and third-party providers, and planning should include provisions for testing planned activities. The plan should include a scenario where suppliers and third-party providers are impacted by ransomware.",1,3
Identify,ID.AM-2: Software platforms and applications within the organization are inventoried,2,Likelihood,"Software inventories may track information such as software name and version, devices where it’s currently installed, last patch date, and current known vulnerabilities. This information supports scheduling updates and removing vulnerable utilities and applications that ransomware could exploit.",1,3
Identify,ID.GV-1: Organizational cybersecurity policy is established and communicated,3,Likelihood,Establishing and communicating policies needed to prevent or mitigate ransomware events is essential and fundamental to all other prevention and mitigation activities. ,1,3
Identify,ID.GV-4: Governance and risk management processes address cybersecurity risks,3,Likelihood,Ransomware risks must be factored into organizational risk management governance in order to establish adequate cybersecurity policies.,1,3
Identify,ID.RA-1: Asset vulnerabilities are identified and documented,4,Likelihood,"Identifying and documenting the vulnerabilities of the organization’s assets supports developing plans for and prioritizing the mitigation or elimination of those vulnerabilities, as well as contingency planning for evaluating and responding to future ransomware events. This will reduce the likelihood of a ransomware outbreak.",1,3
Protect,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",1,Impact,"Network segmentation or segregation can limit the scope of ransomware events by preventing malware from proliferating among potential target systems (e.g., moving laterally into an operational technology or control system from a business information technology network).",1,1
Protect,PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,1,Impact,Response and recovery plans should include ransomware events.,1,1
Protect,PR.IP-10: Response and recovery plans are tested,1,Impact,Ransomware response and recovery plans should be tested periodically to ensure that risk and response assumptions and processes are current with respect to evolving ransomware threats,1,1
Protect,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",2,Impact,Availability of audit/log records can assist in detecting unexpected behaviors and support forensics response and recovery processes. ,1,1
Protect,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",1,Likelihood,"Most ransomware attacks are conducted through network connections, and because ransomware attacks often start with credential compromise, proper credential management is an essential mitigation, although not the only mitigation needed.",1,1
Protect,PR.AC-3: Remote access is managed,1,Likelihood,Most ransomware attacks are conducted remotely. Management of privileges associated with remote access can help to maintain the integrity of systems and data files to protect against insertion of malicious code and exfiltration of data. Using multi-factor token-based authentication will reduce the impact of account compromise.,1,1
Protect,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",1,Likelihood,Many ransomware intrusions occur through the compromise of user credentials or by invoking processes that should not be authorized to have privileged access to the process that is being infiltrated. ,1,1
