loss,likelihood,loss_event,color
0,0.87967,Ransomware,'#8dd3c7'
360.3603604,0.87967,Ransomware,'#8dd3c7'
720.7207207,0.87967,Ransomware,'#8dd3c7'
1081.081081,0.87967,Ransomware,'#8dd3c7'
1441.441442,0.87967,Ransomware,'#8dd3c7'
1801.801802,0.87967,Ransomware,'#8dd3c7'
2162.162162,0.87967,Ransomware,'#8dd3c7'
2522.522523,0.87967,Ransomware,'#8dd3c7'
2882.882883,0.87967,Ransomware,'#8dd3c7'
3243.243244,0.87967,Ransomware,'#8dd3c7'
3603.603604,0.87967,Ransomware,'#8dd3c7'
3963.963964,0.87967,Ransomware,'#8dd3c7'
4324.324325,0.87967,Ransomware,'#8dd3c7'
4684.684685,0.87967,Ransomware,'#8dd3c7'
5045.045045,0.87967,Ransomware,'#8dd3c7'
5405.405405,0.87967,Ransomware,'#8dd3c7'
5765.765765,0.87967,Ransomware,'#8dd3c7'
6126.126126,0.87967,Ransomware,'#8dd3c7'
6486.486486,0.87967,Ransomware,'#8dd3c7'
6846.846847,0.87967,Ransomware,'#8dd3c7'
7207.207207,0.87967,Ransomware,'#8dd3c7'
7567.567567,0.87967,Ransomware,'#8dd3c7'
7927.927928,0.87967,Ransomware,'#8dd3c7'
8288.288288,0.87967,Ransomware,'#8dd3c7'
8648.648649,0.87967,Ransomware,'#8dd3c7'
9009.009009,0.87967,Ransomware,'#8dd3c7'
9369.369369,0.87967,Ransomware,'#8dd3c7'
9729.729729,0.87967,Ransomware,'#8dd3c7'
10090.09009,0.87967,Ransomware,'#8dd3c7'
10450.45045,0.87967,Ransomware,'#8dd3c7'
10810.81081,0.87967,Ransomware,'#8dd3c7'
11171.17117,0.87967,Ransomware,'#8dd3c7'
11531.53153,0.87967,Ransomware,'#8dd3c7'
11891.89189,0.87967,Ransomware,'#8dd3c7'
12252.25225,0.87967,Ransomware,'#8dd3c7'
12612.61261,0.87967,Ransomware,'#8dd3c7'
12972.97297,0.87967,Ransomware,'#8dd3c7'
13333.33333,0.87967,Ransomware,'#8dd3c7'
13693.6937,0.87967,Ransomware,'#8dd3c7'
14054.05406,0.87967,Ransomware,'#8dd3c7'
14414.41442,0.87967,Ransomware,'#8dd3c7'
14774.77478,0.87967,Ransomware,'#8dd3c7'
15135.13514,0.87967,Ransomware,'#8dd3c7'
15495.4955,0.87967,Ransomware,'#8dd3c7'
15855.85586,0.87967,Ransomware,'#8dd3c7'
16216.21622,0.87967,Ransomware,'#8dd3c7'
16576.57658,0.87967,Ransomware,'#8dd3c7'
16936.93694,0.87956,Ransomware,'#8dd3c7'
17297.2973,0.87956,Ransomware,'#8dd3c7'
17657.65766,0.87956,Ransomware,'#8dd3c7'
18018.01802,0.87956,Ransomware,'#8dd3c7'
18378.37838,0.87956,Ransomware,'#8dd3c7'
18738.73874,0.87956,Ransomware,'#8dd3c7'
19099.0991,0.87956,Ransomware,'#8dd3c7'
19459.45946,0.87956,Ransomware,'#8dd3c7'
19819.81982,0.87956,Ransomware,'#8dd3c7'
20180.18018,0.87945,Ransomware,'#8dd3c7'
20540.54054,0.87923,Ransomware,'#8dd3c7'
20900.9009,0.87912,Ransomware,'#8dd3c7'
21261.26126,0.87901,Ransomware,'#8dd3c7'
21621.62162,0.8789,Ransomware,'#8dd3c7'
21981.98198,0.8789,Ransomware,'#8dd3c7'
22342.34234,0.8789,Ransomware,'#8dd3c7'
22702.70271,0.87868,Ransomware,'#8dd3c7'
23063.06307,0.87857,Ransomware,'#8dd3c7'
23423.42343,0.87846,Ransomware,'#8dd3c7'
23783.78379,0.87846,Ransomware,'#8dd3c7'
24144.14415,0.87835,Ransomware,'#8dd3c7'
24504.50451,0.87824,Ransomware,'#8dd3c7'
24864.86487,0.87802,Ransomware,'#8dd3c7'
25225.22523,0.87791,Ransomware,'#8dd3c7'
25585.58559,0.87769,Ransomware,'#8dd3c7'
25945.94595,0.87736,Ransomware,'#8dd3c7'
26306.30631,0.87736,Ransomware,'#8dd3c7'
26666.66667,0.87714,Ransomware,'#8dd3c7'
27027.02703,0.87681,Ransomware,'#8dd3c7'
27387.38739,0.87648,Ransomware,'#8dd3c7'
27747.74775,0.87626,Ransomware,'#8dd3c7'
28108.10811,0.87593,Ransomware,'#8dd3c7'
28468.46847,0.87538,Ransomware,'#8dd3c7'
28828.82883,0.87527,Ransomware,'#8dd3c7'
29189.18919,0.87483,Ransomware,'#8dd3c7'
29549.54955,0.87439,Ransomware,'#8dd3c7'
29909.90991,0.87395,Ransomware,'#8dd3c7'
30270.27027,0.87384,Ransomware,'#8dd3c7'
30630.63063,0.87351,Ransomware,'#8dd3c7'
30990.99099,0.87285,Ransomware,'#8dd3c7'
31351.35135,0.87263,Ransomware,'#8dd3c7'
31711.71172,0.87219,Ransomware,'#8dd3c7'
32072.07208,0.87197,Ransomware,'#8dd3c7'
32432.43244,0.87142,Ransomware,'#8dd3c7'
32792.7928,0.87098,Ransomware,'#8dd3c7'
33153.15316,0.87021,Ransomware,'#8dd3c7'
33513.51352,0.86988,Ransomware,'#8dd3c7'
33873.87388,0.869,Ransomware,'#8dd3c7'
34234.23424,0.86867,Ransomware,'#8dd3c7'
34594.5946,0.86812,Ransomware,'#8dd3c7'
34954.95496,0.86691,Ransomware,'#8dd3c7'
35315.31532,0.86548,Ransomware,'#8dd3c7'
35675.67568,0.86493,Ransomware,'#8dd3c7'
36036.03604,0.86438,Ransomware,'#8dd3c7'
36396.3964,0.86339,Ransomware,'#8dd3c7'
36756.75676,0.86273,Ransomware,'#8dd3c7'
37117.11712,0.86163,Ransomware,'#8dd3c7'
37477.47748,0.86075,Ransomware,'#8dd3c7'
37837.83784,0.85987,Ransomware,'#8dd3c7'
38198.1982,0.85888,Ransomware,'#8dd3c7'
38558.55856,0.85833,Ransomware,'#8dd3c7'
38918.91892,0.85734,Ransomware,'#8dd3c7'
39279.27928,0.85679,Ransomware,'#8dd3c7'
39639.63964,0.85646,Ransomware,'#8dd3c7'
40000,0.85481,Ransomware,'#8dd3c7'
40360.36036,0.85382,Ransomware,'#8dd3c7'
40720.72073,0.85228,Ransomware,'#8dd3c7'
41081.08109,0.85074,Ransomware,'#8dd3c7'
41441.44145,0.85008,Ransomware,'#8dd3c7'
41801.80181,0.84821,Ransomware,'#8dd3c7'
42162.16217,0.84722,Ransomware,'#8dd3c7'
42522.52253,0.84557,Ransomware,'#8dd3c7'
42882.88289,0.84425,Ransomware,'#8dd3c7'
43243.24325,0.84392,Ransomware,'#8dd3c7'
43603.60361,0.84238,Ransomware,'#8dd3c7'
43963.96397,0.84161,Ransomware,'#8dd3c7'
44324.32433,0.84051,Ransomware,'#8dd3c7'
44684.68469,0.8393,Ransomware,'#8dd3c7'
45045.04505,0.8382,Ransomware,'#8dd3c7'
45405.40541,0.83666,Ransomware,'#8dd3c7'
45765.76577,0.83534,Ransomware,'#8dd3c7'
46126.12613,0.83435,Ransomware,'#8dd3c7'
46486.48649,0.83259,Ransomware,'#8dd3c7'
46846.84685,0.83116,Ransomware,'#8dd3c7'
47207.20721,0.82918,Ransomware,'#8dd3c7'
47567.56757,0.82632,Ransomware,'#8dd3c7'
47927.92793,0.82412,Ransomware,'#8dd3c7'
48288.28829,0.82203,Ransomware,'#8dd3c7'
48648.64865,0.82082,Ransomware,'#8dd3c7'
49009.00901,0.81939,Ransomware,'#8dd3c7'
49369.36937,0.81697,Ransomware,'#8dd3c7'
49729.72973,0.81532,Ransomware,'#8dd3c7'
50090.09009,0.81312,Ransomware,'#8dd3c7'
50450.45045,0.81136,Ransomware,'#8dd3c7'
50810.81081,0.80894,Ransomware,'#8dd3c7'
51171.17117,0.8074,Ransomware,'#8dd3c7'
51531.53153,0.80542,Ransomware,'#8dd3c7'
51891.89189,0.80399,Ransomware,'#8dd3c7'
52252.25225,0.80256,Ransomware,'#8dd3c7'
52612.61261,0.80014,Ransomware,'#8dd3c7'
52972.97297,0.79772,Ransomware,'#8dd3c7'
53333.33333,0.79431,Ransomware,'#8dd3c7'
53693.69369,0.79321,Ransomware,'#8dd3c7'
54054.05405,0.79101,Ransomware,'#8dd3c7'
54414.41441,0.78903,Ransomware,'#8dd3c7'
54774.77477,0.7865,Ransomware,'#8dd3c7'
55135.13513,0.78474,Ransomware,'#8dd3c7'
55495.49549,0.78243,Ransomware,'#8dd3c7'
55855.85585,0.78034,Ransomware,'#8dd3c7'
56216.21621,0.77781,Ransomware,'#8dd3c7'
56576.57657,0.77616,Ransomware,'#8dd3c7'
56936.93693,0.77385,Ransomware,'#8dd3c7'
57297.29729,0.77154,Ransomware,'#8dd3c7'
57657.65765,0.7689,Ransomware,'#8dd3c7'
58018.01801,0.76725,Ransomware,'#8dd3c7'
58378.37837,0.76461,Ransomware,'#8dd3c7'
58738.73874,0.76241,Ransomware,'#8dd3c7'
59099.0991,0.75955,Ransomware,'#8dd3c7'
59459.45946,0.75636,Ransomware,'#8dd3c7'
59819.81982,0.75383,Ransomware,'#8dd3c7'
60180.18018,0.75152,Ransomware,'#8dd3c7'
60540.54054,0.7491,Ransomware,'#8dd3c7'
