"year"	"occ"	"inc1"	"inc2"	"inc3"	"inc4"	"inc5"	"inc6"	"inc7"	"inc8"	"inc9"	"inc10"	"inc11"	"inc12"	"inc13"	"inc14"	"inc15"	"inc16"	"inc17"	"inc18"	"inc19"	"inc20"	"inc21"	"inc22"	"inc23"	"inc24"	"inc25"	"inc26"	"inc27"	"inc28"	"inc29"	"inc30"	"inc31"	"inc32"	"inc33"	"inc34"	"inc35"	"inc36"	"inc37"	"inc38"	"inc39"	"inc40"	"inc41"	"inc42"
1960	1	398092	597405	412201	456767	494521	395217	418107	333019	530616	425446	240513	286799	312469	178206	177040	100897	253691	0	128976	144044	0	84098	0	69909	87054	0	52297	42546	0	41943	0	26196	46719	0	26193	19223	0	20028	0	246847	0	0
1960	2	5287	10354	11059	11156	17931	28392	32390	38457	56871	65448	39344	41842	38879	23811	20022	13755	18438	0	12355	10458	0	5978	0	4485	4381	0	2689	1792	0	1194	0	799	2192	0	896	795	0	200	0	6575	0	0
1960	3	81102	127607	90753	88950	116462	170939	202512	189192	198144	175226	106361	90160	67024	47514	30084	16733	25594	0	12248	10069	0	5576	0	3681	4583	0	2791	1691	0	798	0	798	795	0	596	795	0	598	0	3682	0	0
1960	4	535253	559722	436020	576117	668616	639901	690073	539905	660968	461542	203515	198605	136602	73925	59767	26204	38645	0	15631	14257	0	5780	0	6173	6573	0	2989	3287	0	2594	0	1196	1989	0	1592	1694	0	1196	0	7769	0	0
1960	5	541029	777926	749539	1164571	1255947	1156503	1174950	1016775	1354989	1068400	563424	495062	379035	206484	149175	78011	110887	0	50287	34071	0	19630	0	12350	11656	0	5576	4188	0	3787	0	2787	2590	0	1588	995	0	1391	0	10349	0	0
1960	6	76598	131662	97841	122996	141932	143226	126012	82178	76105	57578	29392	29884	31398	17427	13849	9960	27314	0	14046	21012	0	12950	0	9859	18839	0	11056	7177	0	9069	0	5772	14439	0	6278	6073	0	3785	0	77964	0	0
2014	1	56486	68721	77179	88901	114795	164945	173418	231652	193073	238500	178686	206260	150523	150420	134981	129567	89073	88461	63538	104190	50825	47726	34162	49181	34864	35411	24561	25600	16259	37628	18846	15889	10653	13185	11536	13941	9202	6949	4667	21038	7288	191161
2014	2	620099	577379	654363	676467	557622	530354	494798	657886	600751	672405	509653	494799	352479	310411	260762	240220	166849	141999	94388	104261	63964	52099	34943	42811	29079	24921	18151	17435	14110	18142	10748	9313	9067	5746	5173	6511	4241	4400	4166	7660	3984	70151
2014	3	878673	798096	899509	1042328	1006752	959913	710081	732052	508632	544155	330936	349010	204951	191649	141908	147143	78316	85395	39515	73015	32017	29814	16629	27152	15648	18635	8838	15162	6455	17300	6150	9928	4744	7836	4575	6076	4173	4306	2568	7421	1545	57814
2014	4	512144	563919	722726	958307	980815	1008398	781001	773941	515994	577892	345702	373714	214176	199196	148585	141198	79199	83620	46890	87297	31490	33223	20963	28173	18140	16999	7551	9371	5395	12361	5312	4164	2290	3081	3167	3188	2301	1829	1447	2204	884	29600
2014	5	195322	234210	268442	366583	422696	550857	471823	609406	491928	621640	448213	557187	372302	381393	303031	317323	183327	210222	128078	220268	87542	107962	65927	117015	63818	65031	37755	46898	25089	64549	24771	32043	19748	18593	18871	28661	16205	17593	10836	44948	13170	534826
2014	6	285206	348454	455380	548734	556847	490809	313077	232435	133964	97572	46959	48926	30799	20198	12951	11921	8807	8170	4032	9055	2161	2064	3496	2678	1118	1625	462	1227	1038	1456	190	716	210	401	771	452	404	337	0	729	117	7945
