momentID,momentVehicleClassLower,momentVehicleClass,momentType,momentVehicle,momentVehicleTop,momentAdditional,momentIn,momentOut,momentDuration,momentDurationTop,movieID,movieName,movieYear,movieActor,movieDuration,inVehicleDuration,inVehicleFraction,movieDescription,momentDurationStacked
M01V01,airplane,Airplane,air-based,Pan American Boeing 707-320,0_Other,,976,990,14,14,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",14
M01V02,car,Car,land-based,1957 Chevrolet Bel Air Convertible,0_Other,"taxi, passenger, chased",1117,1249,132,132,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",146
M01V03,car,Car,land-based,1957 Chevrolet Bel Air Convertible,0_Other,driver,1305,1317,12,12,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",158
M01V04,car,Car,land-based,1959 Ford Consul 11,0_Other,passenger,1383,1389,6,6,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",164
M01V05,car,Car,land-based,1959 Austin Cambridge A55 Mark II,0_Other,"taxi, passenger",1602,1606,4,4,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",168
M01V06,car,Car,land-based,1959 Austin Cambridge A55 Mark II,0_Other,"taxi, passenger",2145,2150,5,5,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",173
M01V07,car,Car,land-based,1961 Sunbeam Alpine Series 11 ,0_Other,"driver, chased",2952,3071,119,119,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",292
M01V08,boat,Boat,water-based,Quarrel's boat,0_Other,powered by an Evinrude outboard motor P.R. 23,3540,3610,70,70,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",362
M01V09,boat,Boat,water-based,Pal,0_Other,,3610,3673,63,63,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",425
M01V10,truck,Truck,land-based,Dragon,0_Other,,4678,4684,6,6,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",431
M01V11,boat,Boat,water-based,Lyman Islander,0_Other,,6414,6590,176,176,M01,Dr. No,1962,Sean Connery,6600,607,9%,"The first Bond movie might be one of the series' best, introducing the famous gunbarrel sequence and the iconic theme music. It has the lowest fraction of in-vehicle time, but it does end - as most of Connery's Bond movies do - on a boat.",607
M02V01,boat,Boat,water-based,Rowing boat,0_Other,,1079,1113,34,34,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",641
M02V02,airplane,Airplane,air-based,Pan American Boeing 707-320B ,0_Other,,1465,1481,16,16,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",657
M02V03,car,Car,land-based,Rolls-Royce Silver Wraith,0_Other,,1514,1583,69,69,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",726
M02V04,car,Car,land-based,Rolls-Royce Silver Wraith,0_Other,,1717,1743,26,26,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",752
M02V05,boat,Boat,water-based,Rowing boat,0_Other,owned by Ali Kerim Bey,2097,2135,38,38,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",790
M02V06,car,Car,land-based,1960 3 door/5 door Ford Ranch Wagon,0_Other,2 different cars used while filming,2299,2337,38,38,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",828
