pid,grp,duration
1,Pre-liked me status,1
1,Liked me,-99
2,Pre-like status,1
2,Sent like,-99
3,Pre-liked me status,1
3,Liked me,1
3,Match,8
3,Conversation in app,13
3,First date,-99
4,Pre-liked me status,3
4,Liked me,-99
5,Pre-liked me status,4
5,Liked me,-99
6,Pre-liked me status,4
6,Liked me,-99
7,Pre-liked me status,4
7,Liked me,-99
8,Pre-liked me status,4
8,Liked me,-99
9,Pre-liked me status,4
9,Liked me,-99
10,Pre-liked me status,4
10,Liked me,-99
11,Pre-liked me status,4
11,Liked me,-99
12,Pre-liked me status,4
12,Liked me,-99
13,Pre-liked me status,4
13,Liked me,-99
14,Pre-liked me status,4
14,Liked me,-99
15,Pre-liked me status,4
15,Liked me,-99
16,Pre-liked me status,4
16,Liked me,-99
17,Pre-liked me status,4
17,Liked me,-99
18,Pre-liked me status,4
18,Liked me,-99
19,Pre-liked me status,5
19,Liked me,-99
20,Pre-liked me status,5
20,Liked me,-99
21,Pre-liked me status,5
21,Liked me,1
21,Match,11
21,Conversation in app,5
21,First date,7
21,Second date,7
21,Dating,56
21,Ended,-99
22,Pre-liked me status,5
22,Liked me,1
22,Match,0
22,Conversation in app,-99
23,Pre-liked me status,5
23,Liked me,-99
24,Pre-liked me status,6
24,Liked me,-99
25,Pre-liked me status,6
25,Liked me,-99
26,Pre-like status,7
26,Sent like,1
26,Match,-99
27,Pre-liked me status,7
27,Liked me,-99
28,Pre-like status,9
28,Sent like,-99
29,Pre-liked me status,9
29,Liked me,1
29,Match,-99
30,Pre-liked me status,9
30,Liked me,-99
31,Pre-liked me status,9
31,Liked me,-99
32,Pre-liked me status,9
32,Liked me,1
32,Match,1
32,Conversation in app,4
32,First date,-99
33,Pre-like status,9
33,Sent like,-99
34,Pre-like status,9
34,Sent like,-99
35,Pre-like status,9
35,Sent like,-99
36,Pre-like status,9
36,Sent like,1
36,Match,0
36,Conversation in app,-99
37,Pre-like status,11
37,Sent like,-99
38,Pre-liked me status,11
38,Liked me,-99
39,Pre-liked me status,11
39,Liked me,-99
40,Pre-like status,11
40,Sent like,-99
41,Pre-liked me status,12
41,Liked me,1
41,Match,1
41,Conversation in app,-99
42,Pre-like status,12
42,Sent like,3
42,Match,-99
43,Pre-like status,12
43,Sent like,-99
44,Pre-like status,12
44,Sent like,1
44,Match,-99
45,Pre-liked me status,13
45,Liked me,-99
46,Pre-liked me status,13
46,Liked me,-99
47,Pre-liked me status,13
47,Liked me,-99
48,Pre-liked me status,13
48,Liked me,-99
49,Pre-like status,14
49,Sent like,-99
50,Pre-like status,14
50,Sent like,-99
51,Pre-liked me status,14
51,Liked me,-99
52,Pre-liked me status,14
52,Liked me,-99
53,Pre-liked me status,14
53,Liked me,-99
54,Pre-liked me status,14
54,Liked me,-99
55,Pre-liked me status,15
55,Liked me,-99
56,Pre-liked me status,15
56,Liked me,-99
57,Pre-liked me status,15
57,Liked me,1
57,Match,1
57,Conversation in app,-99
58,Pre-like status,16
58,Sent like,5
58,Match,1
58,Conversation in app,-99
59,Pre-like status,16
59,Sent like,1
59,Match,6
59,Conversation in app,-99
60,Pre-like status,16
60,Sent like,-99
61,Pre-like status,16
61,Sent like,-99
62,Pre-like status,16
62,Sent like,-99
63,Pre-like status,16
63,Sent like,1
63,Match,1
63,Conversation in app,-99
64,Pre-liked me status,16
64,Liked me,-99
65,Pre-like status,16
65,Sent like,-99
66,Pre-like status,16
66,Sent like,-99
67,Pre-like status,16
67,Sent like,-99
68,Pre-like status,17
68,Sent like,-99
69,Pre-like status,18
69,Sent like,-99
70,Pre-liked me status,18
70,Liked me,1
70,Match,0
70,Conversation in app,-99
71,Pre-like status,19
71,Sent like,-99
72,Pre-like status,19
72,Sent like,1
72,Match,-99
73,Pre-liked me status,19
73,Liked me,-99
74,Pre-like status,20
74,Sent like,-99
75,Pre-liked me status,20
75,Liked me,-99
76,Pre-liked me status,22
76,Liked me,-99
77,Pre-liked me status,22
77,Liked me,-99
78,Pre-liked me status,22
78,Liked me,-99
79,Pre-like status,23
79,Sent like,-99
80,Pre-liked me status,23
80,Liked me,-99
81,Pre-liked me status,23
81,Liked me,-99
82,Pre-liked me status,23
82,Liked me,-99
83,Pre-like status,24
83,Sent like,-99
84,Pre-like status,24
84,Sent like,-99
85,Pre-liked me status,24
85,Liked me,-99
86,Pre-liked me status,24
86,Liked me,-99
87,Pre-liked me status,24
87,Liked me,-99
88,Pre-like status,24
88,Sent like,-99
89,Pre-liked me status,25
89,Liked me,-99
90,Pre-liked me status,28
90,Liked me,-99
91,Pre-liked me status,28
91,Liked me,-99
92,Pre-liked me status,28
92,Liked me,-99
93,Pre-like status,30
93,Sent like,-99
94,Pre-liked me status,28
94,Match,1
94,Conversation in app,-99
95,Pre-liked me status,32
95,Liked me,-99
96,Pre-liked me status,39
96,Liked me,-99
97,Pre-liked me status,85
97,Liked me,-99
98,Pre-liked me status,85
98,Liked me,-99
99,Pre-liked me status,85
99,Liked me,1
99,Match,1
99,Conversation in app,7
99,First date,-99
100,Pre-liked me status,85
100,Liked me,-99
101,Pre-liked me status,85
101,Liked me,-99
102,Pre-liked me status,85
102,Liked me,-99
103,Pre-liked me status,85
103,Liked me,-99
104,Pre-liked me status,85
104,Liked me,-99
105,Pre-liked me status,85
105,Liked me,1
105,Match,0
105,Conversation in app,-99
106,Pre-liked me status,85
106,Liked me,-99
107,Pre-liked me status,85
107,Liked me,-99
108,Pre-liked me status,86
108,Liked me,-99
109,Pre-like status,86
109,Sent like,12
109,Match,1
109,Conversation in app,-99
110,Pre-like status,86
110,Sent like,-99
111,Pre-like status,86
111,Sent like,-99
112,Pre-like status,86
112,Sent like,-99
113,Pre-like status,87
113,Sent like,1
113,Match,1
113,Conversation in app,-99
114,Pre-like status,87
114,Sent like,-99
115,Pre-like status,87
115,Sent like,-99
116,Pre-like status,87
116,Sent like,-99
117,Pre-like status,87
117,Sent like,-99
118,Pre-liked me status,87
118,Liked me,-99
119,Pre-liked me status,87
119,Liked me,1
119,Match,1
119,Conversation in app,-99
120,Pre-like status,87
120,Sent like,-99
121,Pre-like status,87
121,Sent like,-99
122,Pre-like status,87
122,Sent like,-99
123,Pre-like status,87
123,Sent like,-99
124,Pre-like status,88
124,Sent like,-99
125,Pre-like status,88
125,Sent like,-99
126,Pre-like status,88
126,Sent like,-99
127,Pre-like status,88
127,Sent like,-99
128,Pre-like status,88
128,Sent like,-99
129,Pre-like status,88
129,Sent like,-99
130,Pre-like status,88
130,Sent like,-99
131,Pre-like status,88
131,Sent like,-99
132,Pre-like status,88
132,Sent like,-99
133,Pre-like status,89
133,Sent like,-99
134,Pre-like status,89
134,Sent like,1
134,Match,-99
135,Pre-like status,89
135,Sent like,-99
136,Pre-like status,89
136,Sent like,2
136,Match,1
136,Conversation in app,-99
137,Pre-like status,89
137,Sent like,1
137,Match,0
137,Conversation in app,-99
138,Pre-like status,89
138,Sent like,2
138,Match,-99
139,Pre-like status,89
139,Sent like,-99
140,Pre-like status,90
140,Sent like,-99
141,Pre-like status,90
141,Sent like,24
141,Match,1
141,Conversation in app,-99
142,Pre-like status,90
142,Sent like,-99
143,Pre-like status,90
143,Sent like,-99
144,Pre-liked me status,90
144,Liked me,1
144,Match,1
144,Conversation in app,-99
145,Pre-like status,90
145,Sent like,-99
146,Pre-like status,90
146,Sent like,-99
147,Pre-like status,90
147,Sent like,-99
148,Pre-like status,90
148,Sent like,-99
149,Pre-like status,90
149,Sent like,-99
150,Pre-like status,90
150,Sent like,2
150,Match,1
150,Conversation in app,-99
151,Pre-like status,90
151,Sent like,-99
152,Pre-like status,90
152,Sent like,8
152,Match,-99
153,Pre-like status,91
153,Sent like,-99
154,Pre-like status,91
154,Sent like,-99
155,Pre-like status,91
155,Sent like,-99
156,Pre-like status,91
156,Sent like,-99
157,Pre-like status,91
157,Sent like,-99
158,Pre-like status,91
158,Sent like,-99
159,Pre-like status,91
159,Sent like,-99
160,Pre-like status,91
160,Sent like,1
160,Match,0
160,Conversation in app,-99
161,Pre-like status,91
161,Sent like,-99
162,Pre-like status,91
162,Sent like,-99
163,Pre-like status,91
163,Sent like,-99
164,Pre-like status,91
164,Sent like,-99
165,Pre-like status,91
165,Sent like,1
165,Match,1
165,Conversation in app,-99
166,Pre-like status,91
166,Sent like,-99
167,Pre-like status,92
167,Sent like,-99
168,Pre-like status,92
168,Sent like,-99
169,Pre-like status,92
169,Sent like,-99
170,Pre-like status,92
170,Sent like,-99
171,Pre-like status,92
171,Sent like,-99
172,Pre-like status,92
172,Sent like,-99
173,Pre-like status,92
173,Sent like,1
173,Match,-99
174,Pre-like status,92
174,Sent like,-99
175,Pre-like status,92
175,Sent like,-99
176,Pre-like status,92
176,Sent like,-99
177,Pre-like status,92
177,Sent like,-99
178,Pre-like status,93
178,Sent like,-99
179,Pre-like status,93
179,Sent like,-99
180,Pre-like status,93
180,Sent like,-99
181,Pre-like status,93
181,Sent like,-99
182,Pre-like status,93
182,Sent like,-99
183,Pre-like status,93
183,Sent like,-99
184,Pre-like status,93
184,Sent like,-99
185,Pre-like status,93
185,Sent like,7
185,Match,-99
186,Pre-like status,93
186,Sent like,-99
187,Pre-like status,93
187,Sent like,-99
188,Pre-like status,93
188,Sent like,-99
189,Pre-like status,93
189,Sent like,-99
190,Pre-like status,94
190,Sent like,-99
191,Pre-liked me status,94
191,Liked me,1
191,Match,-99
192,Pre-like status,94
192,Sent like,-99
193,Pre-like status,94
193,Sent like,-99
194,Pre-like status,94
194,Sent like,-99
195,Pre-like status,94
195,Sent like,-99
196,Pre-like status,94
196,Sent like,-99
197,Pre-like status,94
197,Sent like,-99
198,Pre-like status,94
198,Sent like,-99
199,Pre-like status,95
199,Sent like,-99
200,Pre-like status,95
200,Sent like,-99
201,Pre-like status,95
201,Sent like,-99
202,Pre-like status,95
202,Sent like,-99
203,Pre-like status,95
203,Sent like,-99
204,Pre-like status,95
204,Sent like,-99
205,Pre-like status,95
205,Sent like,1
205,Match,1
205,Conversation in app,3
205,First date,-99
206,Pre-like status,95
206,Sent like,-99
207,Pre-like status,95
207,Sent like,-99
208,Pre-like status,95
208,Sent like,-99
209,Pre-like status,95
209,Sent like,-99
210,Pre-like status,95
210,Sent like,-99
211,Pre-like status,95
211,Sent like,-99
212,Pre-like status,95
212,Sent like,-99
213,Pre-like status,95
213,Sent like,-99
214,Pre-like status,95
214,Sent like,-99
215,Pre-like status,95
215,Sent like,-99
216,Pre-like status,95
