year|film|role|gross|rt_score
1981|Endless Love|Billy|33000000|26
1981|Taps|David Shawn|35856053|68
1983|The Outsiders|Steve Randle|25722974|70
1983|Losin' It|Woody|1246141|18
1983|Risky Business|Joel Goodson|63541777|92
1983|All the Right Moves|Stef|17200000|63
1986|Legend|Jack|23506237|41
1986|Top Gun|Maverick|357463748|58
1986|The Color of Money|Vincent|52293000|88
1988|Cocktail|Brian Flanagan|78222753|9
1988|Rain Man|Charlie Babbitt|412800000|89
1989|Born on the Fourth of July|Ron Kovic|70001698|85
1990|Days of Thunder|Cole Trickle|157670733|37
1992|Far and Away|Joseph Donnelly|58883840|50
1992|A Few Good Men|Lt. Daniel Kaffee|236500000|84
1993|The Firm|Mitch McDeere|270340892|76
1994|Interview with the Vampire|Lestat|223564608|63
1996|Mission: Impossible|Ethan Hunt|457697994|66
1996|Jerry Maguire|Jerry Maguire|273552592|84
1999|Eyes Wide Shut|Dr. William Harford|104264617|76
1999|Magnolia|Frank T.J. Mackey|48446802|82
2000|Mission: Impossible 2|Ethan Hunt|549588516|56
2001|Vanilla Sky|David Ames|202726605|43
2002|Space Station|Narrator|126513186|87
2002|Minority Report|Officer John Anderton|358824714|90
2002|Austin Powers in Goldmember|Famous Austin Powers|296338663|53
2003|The Last Samurai|Capt. Nathan Algren|456810575|66
2004|Collateral|Vincent|217602967|86
2005|War of the Worlds|Ray Ferier|606836535|75
2006|Mission: Impossible III|Ethan Hunt|399387745|71
2007|Lions for Lambs|Senator Jasper Irving|63211088|27
2008|Tropic Thunder|Lee Grossman|191145256|82
2008|Valkyrie|Col. Claus von Stauffenberg|203932174|62
2010|Knight and Day|Roy Miller|258751370|52
2011|Mission: Impossible - Ghost Protocol|Ethan Hunt|694713230|93
2012|Rock of Ages|Stacee Jaxx|61031932|43
2012|Jack Reacher|Jack Reacher|217370736|63
2013|Oblivion|Jack|287916633|54
2014|Edge of Tomorrow|Lt. Col. Bill Cage|367028980|91
2015|Mission: Impossible - Rogue Nation|Ethan Hunt|688858992|94
2016|Jack Reacher: Never Go Back|Jack Reacher|159946489|38
2017|The Mummy|Nick Morton|409953905|15
2017|American Made|Barry Seal|135569212|85
2018|Mission: Impossible - Fallout|Ethan Hunt|786626183|97
2022|Top Gun: Maverick|Pete “Maverick” Mitchell|1478933621|96
2023|Mission: Impossible - Dead Reckoning Part 1|Ethan Hunt|15516660|96
