date,COVID-19 pandemic,Donald Trump,Deaths in 2020,Kamala Harris,Joe Biden,Kobe Bryant,Coronavirus,COVID-19 pandemic by country and territory,Elizabeth II,2020 United States presidential election
01/01/2020,0,37023,83240,4326,6990,10736,545,0,65260,15023
02/01/2020,0,36184,111136,3983,9601,11520,687,0,69038,21562
03/01/2020,0,64678,102498,3617,10698,9739,807,0,66077,22790
04/01/2020,0,61964,93083,2530,8705,10380,883,0,84139,19357
05/01/2020,0,63213,90740,2552,8481,9033,804,0,73319,19605
06/01/2020,0,69777,94041,2437,8660,7975,1137,0,62524,22136
07/01/2020,0,102517,95219,2874,10026,8403,815,0,53455,19528
08/01/2020,0,169936,98023,2806,11065,8360,1115,0,64215,23398
09/01/2020,0,77625,98601,2930,8460,11335,8651,0,119668,18187
10/01/2020,0,53533,104543,2983,8461,11543,4337,0,119640,18847
11/01/2020,0,44660,97207,2729,8413,10631,5382,0,120963,15845
12/01/2020,0,41221,91329,2482,8279,8869,3361,0,126251,15383
13/01/2020,0,39895,98807,3644,9154,9653,3313,0,129984,23743
14/01/2020,0,53521,97632,3841,12036,7986,4991,0,108962,21233
15/01/2020,0,48896,95427,5159,49978,7517,4203,0,80375,25490
16/01/2020,0,50429,100591,4709,15188,8493,11822,0,73804,18363
17/01/2020,0,47979,101993,3636,12186,7412,15099,0,69157,16234
18/01/2020,0,43378,90842,2848,10215,6434,28342,0,96247,14081
19/01/2020,0,41951,91106,2866,9916,8093,22114,0,120863,14003
20/01/2020,0,37935,99399,3091,14398,6906,143234,0,106621,15966
21/01/2020,0,46237,96579,3546,14446,7924,359475,0,85315,17287
22/01/2020,0,49707,105549,3735,14791,8242,420234,0,70457,17204
23/01/2020,0,42392,103635,3776,15417,9978,634208,0,65058,15054
24/01/2020,0,40159,96853,3577,16080,11848,895340,0,58764,14754
25/01/2020,0,37962,91911,2890,11979,10248,972568,0,63078,13419
26/01/2020,0,36530,132497,2423,11306,9513452,952924,0,71802,13659
27/01/2020,0,37983,138013,2295,12441,8045344,982596,0,56269,14918
28/01/2020,0,40020,118224,3553,14256,2286161,894952,0,51746,15028
29/01/2020,0,42438,111021,3529,12178,1158627,713857,0,46814,14852
30/01/2020,0,37607,106777,3682,15407,786514,647827,0,47903,14647
31/01/2020,0,40860,104111,3568,13765,474482,699130,0,44464,17781
01/02/2020,0,38634,96231,4349,12419,575727,339596,0,50113,16984
02/02/2020,0,37422,95336,3213,14766,350606,279889,0,52298,18830
03/02/2020,0,45143,103276,3141,23393,217028,246370,0,39033,29081
04/02/2020,0,51363,101863,4549,36281,162998,201132,0,39203,47150
05/02/2020,0,105872,102427,7179,28098,135968,151309,0,37402,45818
06/02/2020,0,95361,113745,4347,25889,143141,153925,0,45137,37308
07/02/2020,0,63426,99689,3848,18510,116592,186112,0,39482,29534
08/02/2020,0,51562,98326,3757,41656,97980,191387,0,48992,25115
09/02/2020,0,45247,107723,3824,19380,97116,168361,0,48422,21076
10/02/2020,0,42350,109338,3962,19508,97963,173334,0,38588,22837
11/02/2020,0,46605,107134,4040,26477,83577,177798,0,44343,27987
12/02/2020,0,60014,102099,7920,40829,81947,168680,0,37458,74069
13/02/2020,0,48828,101614,4410,23155,67693,178804,0,33991,34611
14/02/2020,0,42189,98714,3503,15136,60088,129764,0,31305,24600
15/02/2020,0,36869,102101,4364,10831,66094,107718,0,37129,20760
16/02/2020,0,43627,107040,3522,12519,73731,111057,0,41247,21614
17/02/2020,0,43572,114623,3100,10498,102936,97268,0,45924,22674
18/02/2020,0,47331,115634,3229,10772,62819,99935,0,39819,24283
19/02/2020,0,52368,120528,3928,12227,59952,82104,0,41868,25172
20/02/2020,0,61992,110520,4210,39449,55808,65159,0,35479,33960
21/02/2020,0,56827,101694,3446,19578,47829,68137,0,32813,25599
