Gender	Attribute	inc1	inc2	inc3	inc4	inc5	inc6	inc7	inc8	inc9	inc10	inc11	inc12	inc13	inc14	inc15	inc16	inc17	inc18	inc19	inc20	inc21	inc22	inc23	inc24	inc25	inc26	inc27	inc28	inc29	inc30	inc31	inc32	inc33	inc34	inc35	inc36	inc37	inc38	inc39	inc40	inc41	inc42	inc43	inc44	inc45	inc46	inc47	inc48	inc49	inc50	inc51	inc52	inc53	inc54	inc55	inc56	inc57	inc58	inc59	inc60	inc61	inc62	inc63	inc64	inc65	inc66	inc67	inc68	inc69	inc70	inc71	inc72	inc73	inc74	inc75	inc76	inc77	inc78	inc79	inc80	inc81	inc82	inc83	inc84	inc85	inc86	inc87	inc88	inc89	inc90	inc91	inc92	inc93	inc94	inc95	inc96	inc97	inc98	inc99	inc100	inc101	inc102	inc103	inc104	inc105	inc106	inc107	inc108	inc109	inc110	inc111	inc112	inc113	inc114	inc115	inc116	inc117	inc118	inc119	inc120	inc121	inc122	inc123	inc124	inc125	inc126	inc127	inc128	inc129	inc130	inc131	inc132	inc133	inc134	inc135	inc136	inc137	inc138	inc139	inc140	inc141	inc142	inc143	inc144	inc145	inc146	inc147	inc148	inc149	inc150	inc151	inc152	inc153	inc154	inc155	inc156	inc157	inc158	inc159	inc160	inc161	inc162	inc163	inc164	inc165	inc166	inc167	inc168	inc169	inc170	inc171	inc172	inc173	inc174	inc175	inc176	inc177	inc178	inc179	inc180	inc181	inc182	inc183	inc184	inc185	inc186	inc187	inc188	inc189	inc190	inc191	inc192	inc193	inc194	inc195	inc196	inc197	inc198	inc199	inc200	inc201	inc202	inc203	inc204	inc205	inc206	inc207	inc208	inc209	inc210	inc211	inc212	inc213	inc214	inc215	inc216	inc217	inc218	inc219					
Female	1	15	45	35	20	20	10	15	9.09	20	15	12	20	10	10	20	20	17	20	10	35	50	30	30	20	20	10	50	20	17	10	5	15	30	5	10	17	10	15	10	10	10	10	20	10	30	20	15	15	15	25	15	15	10	14	15	15	20	20	15	20	50	10	35	20	15	15	10	15	10	10	90	20	0	25	25	16.67	15	22	7	15	19	15	10	20	15	15	25	20	30	20	16	10	25	20	10	15	25	10	10	15	20	50	20	5	10	16	10	2	10	40	10	15	15	22	15	15	15	20	40	5	15	10	30	15	25	12	15	20	15	20	50	15	15	20	9	20	15	20	20	25	25	20	25	15	20	22	20	10	35	15	8	18	20	15	15	20	15	5	10	20	10	15	15	20	30	25	28	15	14	20	10	10	25	25	50	30	10	20	15	20	10	15	10	15	15	10	20	16	20	15	16	20	10	18	19	10	30	10	25	20	20	20	20	20	58	15	20	40	25	10	10	10	15	10	10	50	40	10	20					
Female	2	20	5	10	20	5	25	15	18.18	10	15	18	20	20	20	20	20	10	22	20	10	0	20	5	23	25	10	10	20	18	20	20	15	10	15	25	17	10	20	25	20	20	10	20	32	30	25	20	15	15	15	21	3	20	20	15	15	20	10	15	10	15	10	15	20	15	20	20	20	25	30	2	20	25	30	7	16.67	25	14	35	18	20	20	40	20	15	5	20	30	20	10	16	15	20	20	18	20	25	30	40	20	20	5	25	20	47	20	20	60	20	10	20	15	10	12	22	25	15	20	15	25	15	20	5	25	20	25	15	20	10	10	20	25	20	10	17	30	15	20	10	25	20	20	20	10	15	17	30	20	0	20	20	19	20	18	20	20	25	30	10	10	25	15	30	20	15	5	8	15	15	10	20	25	20	0	5	10	20	20	25	10	20	15	25	20	20	15	20	19	20	15	18	30	20	18	19	15	10	20	25	10	20	20	20	20	5	20	25	5	15	30	20	25	20	15	10	20	10	25	20					
Female	3	20	25	35	20	25	20	25	27.27	20	15	20	20	40	20	15	20	18	18	20	20	50	30	30	23	20	30	20	20	18	20	25	20	20	45	25	17	30	20	20	15	20	20	20	20	30	15	20	20	20	20	18	50	20	18	20	25	20	30	25	20	10	35	5	20	20	15	20	20	20	30	2	25	25	10	25	16.67	20	30	20	19	19	20	20	20	25	45	20	10	20	30	19	40	25	35	20	35	15	20	10	25	20	20	25	25	16	19	20	15	20	15	20	15	20	30	22	15	10	20	25	20	15	27	10	15	10	25	30	20	25	20	10	20	20	25	23	10	20	20	20	25	10	20	20	30	25	15	20	20	35	15	25	16	20	18	30	20	20	20	40	30	15	25	30	20	15	20	17	18	16	50	20	20	15	25	25	10	20	20	15	20	25	25	25	20	10	30	20	16	10	20	18	20	20	18	19	35	20	30	25	10	20	20	20	20	8	20	25	30	25	20	15	20	25	30	30	10	30	25	10					
Female	4	15	20	10	20	25	25	20	18.18	30	40	16	10	10	15	15	15	20	15	20	20	0	10	15	22	15	25	10	15	15	20	15	15	20	25	10	17	20	20	10	20	10	20	20	12	5	15	20	15	15	20	18	20	20	24	25	25	20	20	25	20	10	35	30	10	20	20	20	15	20	10	2	20	25	10	25	16.67	20	10	20	19	14	20	20	10	20	10	25	15	10	15	17	15	25	5	16	15	15	10	20	15	20	10	10	25	12	16	15	8	20	20	10	20	20	25	16	20	25	20	5	10	20	23	20	15	20	8	15	10	25	20	5	20	20	25	15	10	15	15	35	10	20	20	20	10	15	15	20	10	10	30	25	15	10	18	20	10	15	10	10	20	20	15	10	20	30	25	22	18	17	5	20	16	10	25	20	30	15	20	15	20	25	10	20	15	30	10	15	17	20	20	20	20	20	18	19	15	10	10	12	30	20	20	15	15	10	20	30	15	15	15	20	20	20	20	20	5	10	10	15					
Female	5	15	0	10	10	10	5	15	18.18	10	10	16	10	10	20	15	15	25	15	20	10	0	0	15	7	15	10	10	15	17	15	15	15	10	0	10	17	10	15	20	20	20	20	10	11	0	15	5	15	20	20	10	2	20	18	10	15	10	15	20	20	10	8	15	10	20	15	20	15	5	10	2	5	25	5	8	16.67	10	14	5	17	13	15	0	20	5	15	0	10	15	15	14	10	5	10	16	5	10	15	10	15	10	5	15	15	3	18	20	5	10	10	10	20	20	10	15	10	10	20	15	15	20	15	30	15	20	15	15	10	10	20	10	0	20	10	14	10	15	15	5	10	15	20	10	15	15	15	0	10	10	10	12	15	10	15	5	10	10	5	15	10	15	15	10	10	0	15	17	14	18	10	10	20	15	0	0	10	20	20	15	10	10	15	10	15	5	15	15	15	10	15	12	10	20	18	5	10	10	10	3	15	5	5	5	10	7	5	5	5	10	15	15	5	10	15	10	10	10	10	5					
Female	6	15	5	0	10	15	15	10	9.09	10	5	18	20	10	15	15	10	10	10	10	5	0	10	5	5	5	15	0	10	15	15	20	20	10	10	20	15	20	10	15	15	20	20	10	15	5	10	20	20	15	0	18	10	10	6	15	5	10	5	0	10	5	2	0	20	10	15	10	15	20	10	2	10	0	20	10	16.67	10	10	13	12	15	10	10	10	20	10	10	15	5	10	18	10	0	10	20	10	10	15	10	10	10	10	5	10	12	11	15	10	20	5	30	15	15	1	10	15	25	0	0	25	15	5	5	15	5	15	10	20	15	10	5	20	5	10	22	20	20	10	10	5	10	0	5	20	10	16	10	30	10	10	10	17	20	16	10	20	15	30	15	10	15	15	5	10	10	10	8	20	20	5	20	9	15	25	0	10	15	0	15	20	10	20	10	15	20	20	10	17	20	15	16	0	10	10	19	15	20	20	10	15	15	15	20	15	12	10	5	5	10	10	20	20	10	10	15	5		20	30					
Male	1	35	60	19	30	30	50	35	33.33	50	100	25	30	20	25	25	25	20	20	30	20	35	25	15	40	40	20	20	20	21	50	25	60	21	30	30	20	20	18	10	50	40	30	20	40	30	40	20	30	10	19	10	15	20	20	40	50	40	20	25	25	40	40	80	25	20	20	18	35	20	25	22	20	19	30	30	25	24	60	25	27	25	20	25	50	25	20	10	35	20	20	30	20	20	23	17	20	24	50	25	19	20	6.67	25	50	40	20	20	30	60	50	40	20	20	17	10	30	20.51	25	25	31.58	14	30	20	17	50	40	30	75	50	30	30	25	25	20	45	25	70	35	25	20	25	30	20	30	20	20	20	35	75	10	95	10	30	30	17	16	25	20	60	55	35	35	40	30	50	40	30	15	25	55	50	20	35	30	20	40	30	15	15	20	25	20	40	16	20	20	25	15	20	30	30	30	30	25	20	40	30	30	20	15	20	18	15	25	25	30	23	30	20	50	30	20	40	25	20	15	20	35	25	40	20	30	40	70
Male	2	20	0	18	5	10	0	15	11.11	0	0	20	20	25	35	15	15	35	20	15	20	10	10	20	15	20	25	25	15	17	10	10	15	20	10	0	20	20	18	20	7	20	30	25	8	10	5	15	15	20	24	20	10	20	20	15	10	10	15	40	25	15	20	10	10	20	20	10	20	30	15	22	20	19	25	10	10	16	20	15	15	20	20	15	10	20	20	15	40	20	30	10	20	18	18	19	20	15	20	5	13	10	19.05	20	0	30	25	16	15	10	5	10	10	15	17	20	20	14.53	20	25	10.53	18	15	10	18	10	0	15	5	10	20	10	20	15	21	10	10	5	0	20	25	14	25	20	15	10	15	20	15	5	10	1	20	25	20	16	25	7	20	10	10	5	10	10	25	10	12	20	30	15	2	5	40	30	30	10	20	30	15	15	20	20	10	20	16	15	20	26	20	10	15	10	0	10	25	20	20	30	0	14	15	20	10	30	20	25	30	14	20	5	0	10	15	30	15	16	25	20	10	20	10	20	3	20	0
Male	3	20	0	19	15	20	30	25	11.11	25	0	25	10	20	30	25	25	20	25	25	20	20	35	15	20	20	25	15	20	22	30	20	0	19	20	30	20	20	18	20	20	15	20	25	10	30	20	25	20	35	21	35	30	15	20	10	20	10	20	15	25	10	20	10	20	20	20	30	10	10	20	15	20	19	18	20	25	28	0	20	28	30	20	20	10	25	25	25	5	15	10	30	15	20	21	18	20	20	10	30	18	30	42.86	15	20	10	20	16	15	10	15	15	20	30	17	25	30	24.79	20	25	15.79	17	20	25	28	10	10	15	5	10	15	15	10	20	21	10	20	20	25	15	20	25	20	20	15	20	20	20	15	5	30	1	40	20	30	17	20	35	20	10	15	30	25	0	10	10	18	25	25	25	1	5	5	25	30	20	20	10	15	15	20	15	22	20	20	20	20	15	20	20	20	25	30	10	25	20	20	40	30	18	20	20	18	20	20	25	30	19	20	25	10	20	20	0	20	16	20	20	20	20	20	20	30	20	15
Male	4	20	40	18	40	10	10	10	11.11	10	0	20	30	15	10	25	15	10	25	25	20	15	15	30	10	20	10	15	20	20	10	20	15	20	30	30	20	10	19	22	23	20	10	15	12	20	10	15	20	10	23	20	10	15	20	20	5	10	15	10	15	20	20		20	25	10	10	20	15	20	15	20	19	18	20	5	14	20	25	10	15	15	20	10	20	25	15	5	25	20	10	15	17	18	17	20	20	10	15	18	20	9.52	25	20	8	10	16	20	10	20	10	20	10	17	20	5	17.09	20	15	21.05	16	25	20	27	10	50	20	10	10	15	20	20	20	22	30	20	3	20	25	15	25	15	20	15	20	20	20	25	5	30	1	10	10	10	17	12	20	20	10	15	20	20	45	20	30	12	15	20	25	40	5	20	5	5	15	10	10	15	20	20	20	20	20	16	15	15	10	20	20	10	20	30	30	25	15	20	0	15	16	15	20	18	20	20	13	5	16	20	25	30	15	20	20	20	17	10	20	25	20	10	20	30	20	15
