topic,headline_count
times tumblr instagram internet twitter,904
thing happened worst tried best,877
gifts obsessed perfect kids signs slightly,682
try want guys watch food need,670
world dog beautiful looks college cats,642
guess questions answer celebrity age based,623
just literally dogs want,573
ways eat delicious easy,559
disney princesses movie look movies,533
new year old york,532
actually love make want remember best,500
day valentine buzzfeed make cards,499
zodiac sign based character,486
confessions honest sex heartbreaking,455
need talk right life immediately,425
game thrones video characters,412
understand struggles truths girls words charts,400
love actually life fall adorable true,391
women men hair makeup sex look,377
tweets laugh make hilarious loud,367
really weird words looks hot,364
make feel want laugh,333
photos prove week instagram celebrity,332
halloween costumes costume kids,330
character based friends disney potter,292
tell secrets question questions employees,288
way real pictures look went,284
pictures prove make sum perfectly,279
time laugh tried greatest thoughts iconic,260
star wars force awakens,255
christmas movie kids want got,251
harry potter characters fans,249
best friend friends thing,246
that ll make actually help,215
life real change changing need,211
reasons worst date earth better movie,210
remember lyrics episode actually games,190
favorite based question month birth,180
taylor swift video song lyrics,166
real way struggles life got pictures,157
